continent,country,date,total_cases,new_cases,total_deaths,total_cases_per_million,total_deaths_per_million
Asia,Afghanistan,06/04/2021,56779,62,2512,1458.552,64.529
Europe,Albania,06/04/2021,126936,141,2283,44108.694,793.314
Africa,Algeria,06/04/2021,117879,140,3112,2688.169,70.968
Europe,Andorra,06/04/2021,12328,42,117,159554.779,1514.269
Africa,Angola,06/04/2021,22885,168,547,696.307,16.643
North America,Antigua and Barbuda,06/04/2021,1173,0,29,11978.188,296.136
South America,Argentina,06/04/2021,2428029,20870,56634,53722.475,1253.082
Asia,Armenia,06/04/2021,197873,760,3627,66776.029,1224.001
Oceania,Australia,06/04/2021,29379,14,909,1152.123,35.647
Europe,Austria,06/04/2021,562907,1935,9517,62500.777,1056.693
Asia,Azerbaijan,06/04/2021,273869,2035,3743,27010.975,369.162
North America,Bahamas,06/04/2021,9270,99,189,23572.911,480.613
Asia,Bahrain,06/04/2021,150811,1020,545,88629.823,320.29
Asia,Bangladesh,06/04/2021,651652,7213,9384,3956.855,56.98
North America,Barbados,06/04/2021,3691,12,43,12844.024,149.632
Europe,Belarus,06/04/2021,329258,968,2304,34844.62,243.827
Europe,Belgium,06/04/2021,904673,1709,23247,78058.928,2005.847
North America,Belize,06/04/2021,12477,21,318,31379.127,799.757
Africa,Benin,06/04/2021,7313,0,93,603.224,7.671
Asia,Bhutan,06/04/2021,896,5,1,1161.205,1.296
South America,Bolivia,06/04/2021,276890,1498,12366,23720.493,1059.365
Europe,Bosnia and Herzegovina,06/04/2021,177506,1093,7052,54104.239,2149.466
Africa,Botswana,06/04/2021,41710,0,616,17736.671,261.947
South America,Brazil,06/04/2021,13100580,86979,336947,61632.558,1585.19
Asia,Brunei,06/04/2021,214,0,3,489.162,6.857
Europe,Bulgaria,06/04/2021,356859,0,13786,51358.11,1984.041
Africa,Burkina Faso,06/04/2021,12845,20,150,614.497,7.176
Africa,Burundi,06/04/2021,2970,6,6,249.773,0.505
Asia,Cambodia,06/04/2021,2915,163,22,174.353,1.316
Africa,Cameroon,06/04/2021,57337,0,851,2159.922,32.058
North America,Canada,06/04/2021,1027854,10724,23132,27233.579,612.896
Africa,Cape Verde,06/04/2021,18023,84,173,32416.167,311.158
North America,Cayman Islands,06/04/2021,,,,,
Africa,Central African Republic,06/04/2021,5313,0,73,1100.054,15.115
Africa,Chad,06/04/2021,4603,8,166,280.229,10.106
South America,Chile,06/04/2021,1037780,5168,23734,54287.961,1241.564
Asia,China,06/04/2021,101920,19,4841,70.811,3.363
South America,Colombia,06/04/2021,2468236,11827,64524,48508.178,1268.088
Africa,Comoros,06/04/2021,3738,13,146,4298.553,167.894
Africa,Congo,06/04/2021,10084,403,137,1827.443,24.827
North America,Costa Rica,06/04/2021,219846,3082,3000,43156.867,588.915
Africa,Cote d'Ivoire,06/04/2021,44854,13,256,1700.414,9.705
Europe,Croatia,06/04/2021,280899,735,6113,68424.035,1489.062
North America,Cuba,06/04/2021,81640,1030,440,7207.802,38.847
Europe,Cyprus,06/04/2021,48837,559,264,55756.429,301.405
Europe,Czechia,06/04/2021,1555245,1425,27169,145228.09,2537.029
Africa,Democratic Republic of Congo,06/04/2021,28377,23,745,316.844,8.318
Europe,Denmark,06/04/2021,235009,520,2433,40573.336,420.047
Africa,Djibouti,06/04/2021,9111,415,85,9221.641,86.032
North America,Dominica,06/04/2021,165,0,,2291.953,
North America,Dominican Republic,06/04/2021,254603,168,3355,23470.248,309.276
South America,Ecuador,06/04/2021,337702,925,17004,19140.784,963.778
Africa,Egypt,06/04/2021,206510,778,12253,2017.992,119.735
North America,El Salvador,06/04/2021,65491,0,2030,10096.974,312.972
Africa,Equatorial Guinea,06/04/2021,7059,0,104,5031.415,74.128
Africa,Eritrea,06/04/2021,3363,23,10,948.278,2.82
Europe,Estonia,06/04/2021,110680,899,964,83435.165,726.703
Africa,Eswatini,06/04/2021,17358,4,669,14961.678,576.643
Africa,Ethiopia,06/04/2021,219381,2054,3025,1908.265,26.313
Oceania,Fiji,06/04/2021,67,0,2,74.74,2.231
Europe,Finland,06/04/2021,80068,331,860,14450.835,155.215
Europe,France,06/04/2021,4902025,8054,97431,71932.375,1429.704
Africa,Gabon,06/04/2021,19863,0,119,8924.271,53.466
Africa,Gambia,06/04/2021,5564,59,166,2302.347,68.69
Asia,Georgia,06/04/2021,284958,897,3832,71432.815,960.6
Europe,Germany,06/04/2021,2909902,7593,77245,34731.022,921.955
Africa,Ghana,06/04/2021,90946,46,752,2926.855,24.201
Europe,Greece,06/04/2021,281570,4293,8532,27014.15,818.57
North America,Grenada,06/04/2021,155,0,1,1377.545,8.887
North America,Guatemala,06/04/2021,197020,1340,6903,10997.14,385.307
Africa,Guinea,06/04/2021,20510,4,130,1561.739,9.899
Africa,Guinea-Bissau,06/04/2021,3662,0,66,1860.774,33.537
South America,Guyana,06/04/2021,10637,31,247,13523.461,314.026
North America,Haiti,06/04/2021,12803,15,252,1122.821,22.1
North America,Honduras,06/04/2021,192413,1277,4686,19426.614,473.113
Europe,Hungary,06/04/2021,691743,1890,22098,71606.412,2287.495
Europe,Iceland,06/04/2021,6241,16,29,18288.645,84.982
Asia,India,06/04/2021,12801785,115736,166177,9276.626,120.418
Asia,Indonesia,06/04/2021,1542516,4549,41977,5639.425,153.468
Asia,Iran,06/04/2021,1963394,17430,63506,23375.699,756.087
Asia,Iraq,06/04/2021,887291,7300,14535,22059.567,361.365
Europe,Ireland,06/04/2021,238907,441,4727,48383.327,957.31
Asia,Israel,06/04/2021,834920,317,6257,96460.753,722.89
Europe,Italy,06/04/2021,3686707,7763,111747,60975.778,1848.224
North America,Jamaica,06/04/2021,41328,315,622,13956.688,210.053
Asia,Japan,06/04/2021,489407,2615,9251,3869.55,73.144
Asia,Jordan,06/04/2021,645449,6005,7383,63259.84,723.601
Asia,Kazakhstan,06/04/2021,309756,2080,3249,16496.822,173.034
Africa,Kenya,06/04/2021,139842,394,2258,2600.681,41.993
Europe,Kosovo,06/04/2021,94330,3251,1942,48805.499,1004.773
Asia,Kuwait,06/04/2021,239952,1403,1373,56187.439,321.503
Asia,Kyrgyzstan,06/04/2021,89277,124,1509,13683.995,231.293
Asia,Laos,06/04/2021,49,0,,6.735,
Europe,Latvia,06/04/2021,104533,309,1937,55419.833,1026.931
Asia,Lebanon,06/04/2021,482798,2296,6479,70735.053,949.243
Africa,Lesotho,06/04/2021,10707,0,315,4998.011,147.042
Africa,Liberia,06/04/2021,2042,0,85,403.743,16.806
Africa,Libya,06/04/2021,164318,876,2765,23913.715,402.399
Europe,Liechtenstein,06/04/2021,2697,0,56,70718.725,1468.39
Europe,Lithuania,06/04/2021,220900,688,3623,81144.889,1330.864
Europe,Luxembourg,06/04/2021,62625,520,761,100043.772,1215.702
Africa,Madagascar,06/04/2021,25874,165,462,934.382,16.684
Africa,Malawi,06/04/2021,33685,12,1124,1760.851,58.756
Asia,Malaysia,06/04/2021,353329,1300,1300,10916.672,40.166
Asia,Maldives,06/04/2021,25053,145,67,46347.925,123.95
Africa,Mali,06/04/2021,10758,138,396,531.237,19.555
Europe,Malta,06/04/2021,29343,64,399,66456.191,903.657
Oceania,Marshall Islands,06/04/2021,4,0,,67.574,
Africa,Mauritania,06/04/2021,17955,16,450,3861.573,96.781
Africa,Mauritius,06/04/2021,1130,9,12,888.528,9.436
North America,Mexico,06/04/2021,2256509,4804,204985,17501.441,1589.86
Oceania,Micronesia,06/04/2021,1,0,,8.694,
Europe,Moldova,06/04/2021,236563,773,5224,58642.828,1295.004
Europe,Monaco,06/04/2021,2345,11,30,59754.357,764.448
Asia,Mongolia,06/04/2021,11651,0,13,3553.985,3.965
Europe,Montenegro,06/04/2021,93030,290,1326,148122.319,2111.257
Africa,Morocco,06/04/2021,499025,696,8865,13519.844,240.175
Africa,Mozambique,06/04/2021,68292,65,785,2184.964,25.116
Asia,Myanmar,06/04/2021,142530,19,3206,2619.565,58.923
Africa,Namibia,06/04/2021,45008,122,542,17713.297,213.309
Asia,Nepal,06/04/2021,278470,260,3036,9557.327,104.198
Europe,Netherlands,06/04/2021,1335312,5752,16826,77929.495,981.974
Oceania,New Zealand,06/04/2021,2531,7,26,524.861,5.392
North America,Nicaragua,06/04/2021,6727,50,179,1015.465,27.021
Africa,Niger,06/04/2021,5048,7,188,208.538,7.766
Africa,Nigeria,06/04/2021,163388,58,2058,792.609,9.984
Europe,North Macedonia,06/04/2021,136426,1259,4022,65483.013,1930.517
Europe,Norway,06/04/2021,100149,900,677,18473.442,124.879
Asia,Oman,06/04/2021,165480,1206,1728,32404.983,338.384
Asia,Pakistan,06/04/2021,700188,4004,15026,3169.816,68.024
Asia,Palestine,06/04/2021,256461,2539,2735,50272.513,536.126
North America,Panama,06/04/2021,356913,357,6146,82718.932,1424.41
Oceania,Papua New Guinea,06/04/2021,7406,0,67,827.761,7.489
South America,Paraguay,06/04/2021,224736,2073,4522,31508.595,633.997
South America,Peru,06/04/2021,1590209,0,53138,48229.298,1611.617
Asia,Philippines,06/04/2021,812760,9362,13817,7416.973,126.089
Europe,Poland,06/04/2021,2456709,8246,55065,64912.269,1454.952
Europe,Portugal,06/04/2021,824368,874,16887,80846.493,1656.123
Asia,Qatar,06/04/2021,185261,927,312,64303.069,108.293
Europe,Romania,06/04/2021,983217,5231,24386,51108.912,1267.616
Europe,Russia,06/04/2021,4546307,8206,99431,31153.074,681.34
Africa,Rwanda,06/04/2021,22862,178,314,1765.104,24.243
North America,Saint Kitts and Nevis,06/04/2021,44,0,,827.192,
North America,Saint Lucia,06/04/2021,4297,24,63,23400.443,343.083
North America,Saint Vincent and the Grenadines,06/04/2021,1765,1,10,15908.497,90.133
Oceania,Samoa,06/04/2021,3,0,,15.12,
Europe,San Marino,06/04/2021,4864,89,85,143320.172,2504.567
Africa,Sao Tome and Principe,06/04/2021,2248,4,35,10257.299,159.7
Asia,Saudi Arabia,06/04/2021,394169,792,6711,11322.184,192.768
Africa,Senegal,06/04/2021,39127,34,1065,2336.787,63.605
Europe,Serbia,06/04/2021,625773,4398,5537,91963.285,813.715
Africa,Seychelles,06/04/2021,4320,0,24,43929.225,244.051
Africa,Sierra Leone,06/04/2021,3990,1,79,500.189,9.903
Asia,Singapore,06/04/2021,60519,24,30,10344.522,5.128
Europe,Slovakia,06/04/2021,365733,333,10094,66988.446,1848.839
Europe,Slovenia,06/04/2021,220698,273,4089,106159.316,1966.875
Oceania,Solomon Islands,06/04/2021,19,0,,27.661,
Africa,Somalia,06/04/2021,11978,70,576,753.655,36.242
Africa,South Africa,06/04/2021,1552853,437,53032,26182.554,894.169
Asia,South Korea,06/04/2021,106898,668,1756,2085.034,34.251
Africa,South Sudan,06/04/2021,10286,5,113,918.907,10.095
Europe,Spain,06/04/2021,3317948,6623,75911,70964.889,1623.599
Asia,Sri Lanka,06/04/2021,93690,95,586,4375.328,27.366
Africa,Sudan,06/04/2021,31833,0,2063,725.964,47.048
South America,Suriname,06/04/2021,9184,10,178,15655.417,303.426
Europe,Sweden,06/04/2021,834993,21802,13533,82678.55,1339.998
Europe,Switzerland,06/04/2021,610274,4932,10403,70514.262,1202.017
Asia,Syria,06/04/2021,19641,115,1332,1122.301,76.111
Asia,Taiwan,06/04/2021,1050,2,10,44.087,0.42
Asia,Tajikistan,06/04/2021,13308,0,90,1395.313,9.436
Africa,Tanzania,06/04/2021,509,0,21,8.521,0.352
Asia,Thailand,06/04/2021,29571,250,95,423.653,1.361
Asia,Timor,06/04/2021,779,13,1,590.849,0.758
Africa,Togo,06/04/2021,11310,61,113,1366.15,13.649
North America,Trinidad and Tobago,06/04/2021,8214,22,145,5869.277,103.609
Africa,Tunisia,06/04/2021,263043,1866,9039,22256.663,764.81
Asia,Turkey,06/04/2021,3579185,49584,32667,42438.044,387.329
Africa,Uganda,06/04/2021,41023,7,335,896.854,7.324
Europe,Ukraine,06/04/2021,1820725,13398,36692,41632.026,838.986
Asia,United Arab Emirates,06/04/2021,474136,1988,1516,47939.012,153.28
Europe,United Kingdom,06/04/2021,4379033,2404,127126,64505.682,1872.639
North America,United States,06/04/2021,30847348,61958,556546,93193.66,1681.394
South America,Uruguay,06/04/2021,123063,3105,1191,35426.791,342.859
Asia,Uzbekistan,06/04/2021,83935,133,632,2507.828,18.883
Oceania,Vanuatu,06/04/2021,3,0,,9.767,
Europe,Vatican,06/04/2021,27,0,,33374.536,
South America,Venezuela,06/04/2021,169074,1526,1693,5945.785,59.537
Asia,Vietnam,06/04/2021,2648,11,35,27.204,0.36
Asia,Yemen,06/04/2021,4975,94,976,166.801,32.723
Africa,Zambia,06/04/2021,89071,62,1224,4845.04,66.58
Africa,Zimbabwe,06/04/2021,36966,32,1531,2487.128,103.008
